Timestamp,Accel,Brake,Steer,Speed,PosX,PosY,PosZ,CurrentCP,RaceTime
4176393,1,0,0,0,976,74.0023,848,0,1
4176404,1,0,0,0.065,976,74.002,848,0,11
4176415,1,0,0,0.21,976,74.002,848,0,22
4176425,1,0,0,0.354,975.998,74.002,848,0,32
4176434,1,0,0,0.53,975.994,74.002,848,0,41
4176444,1,0,0,0.674,975.989,74.002,848,0,51
4176456,1,0,0,0.85,975.981,74.002,848,0,63
4176466,1,0,0,1.01,975.973,74.002,848,0,73
4176474,1,0,0,1.17,975.963,74.0025,848,0,81
4176483,1,0,0,1.3136,975.952,74.003,848,0,90
4176495,1,0,0,1.489,975.937,74.003,848,0,102
4176505,1,0,0,1.649,975.922,74.0035,848,0,112
4176514,1,0,0,1.8085,975.906,74.004,848,0,121
4176525,1,0,0,1.9516,975.89,74.0044,848,0,132
4176535,1,0,0,2.111,975.87,74.0054,848,0,142
4176545,1,0,0,2.2865,975.846,74.006,848,0,152
4176554,1,0,0,2.4455,975.823,74.0065,848,0,161
4176564,1,0,0,2.5882,975.801,74.0074,848,0,171
4176574,1,0,0,2.7784,975.769,74.0086,848,0,181
4176585,1,0,0,2.921,975.744,74.0095,848,0,192
4176596,1,0,0,3.079,975.714,74.01,848,0,203
4176604,1,0,0,3.237,975.683,74.0105,848,0,211
4176614,1,0,0,3.4108,975.647,74.0116,848,0,221
4176625,1,0,0,3.553,975.617,74.012,848,0,232
4176635,1,0,0,3.7262,975.577,74.0126,848,0,242
4176644,1,0,0,3.8675,975.543,74.0135,848,0,251
4176656,1,0,0,4.0245,975.504,74.014,848,0,263
4176666,1,0,0,4.1815,975.464,74.014,848,0,273
4176675,1,0,0,4.3385,975.422,74.0145,848,0,282
4176683,1,0,0,4.4955,975.379,74.015,848,0,290
4176695,1,0,0,4.6682,975.329,74.015,848,0,302
4176704,1,0,0,4.8252,975.282,74.015,848,0,311
4176715,1,0,0,4.9816,975.234,74.015,848,0,322
4176726,1,0,0,5.1539,975.179,74.015,848,0,333
4176736,1,0,0,5.3109,975.128,74.015,848,0,343
4176748,1,0,0,5.4522,975.081,74.0144,848,0,355
4176757,1,0,0,5.6249,975.02,74.014,848,0,364
4176765,1,0,0,5.7662,974.97,74.014,848,0,372
4176776,1,0,0,5.9546,974.901,74.0132,848,0,383
4176787,1,0,0,6.0959,974.847,74.013,848,0,394
4176798,1,0,0,6.2686,974.781,74.0122,848,0,405
4176807,1,0,0,6.4106,974.724,74.012,848,0,414
4176816,1,0,0,6.5836,974.654,74.0112,848,0,423
4176828,1,0,0,6.7414,974.589,74.011,848,0,435
4176837,1,0,0,6.9152,974.514,74.0101,848,0,444
4176847,1,0,0,7.0574,974.452,74.0092,848,0,454
4176858,1,0,0,7.2154,974.381,74.009,848,0,465
4176868,1,0,0,7.3734,974.31,74.0082,848,0,475
4176879,1,0,0,7.5481,974.229,74.008,848,0,486
4176889,1,0,0,7.6904,974.161,74.008,848,0,496
4176896,1,0,0,7.8492,974.084,74.0072,848,0,503
4176907,1,0,0,8.0074,974.006,74.007,848,0,514
4176918,1,0,0,8.1662,973.925,74.007,848,0,525
4176928,1,0,0,8.3252,973.845,74.0062,848,0,535
4176937,1,0,0,8.5001,973.753,74.006,848,0,544
4176949,1,0,0,8.6582,973.668,74.006,848,0,556
4176960,1,0,0,8.833,973.572,74.006,848,0,567
4176969,1,0,0,8.9761,973.493,74.006,848,0,576
4176979,1,0,0,9.151,973.394,74.006,848,0,586
4176990,1,0,0,9.31,973.302,74.007,848,0,597
4177002,1,0,0,9.468,973.209,74.007,848,0,609
4177012,1,0,0,9.6429,973.104,74.007,848,0,619
4177021,1,0,0,9.8018,973.008,74.007,848,0,628
4177033,1,0,0,9.9758,972.9,74.008,848,0,640
4177043,1,0,0,10.1346,972.801,74.008,848,0,650
4177056,1,0,0,10.3087,972.689,74.0082,848,0,663
4177065,1,0,0,10.499,972.565,74.009,848,0,672
4177073,1,0,0,10.6412,972.47,74.0094,848,0,680
4177085,1,0,0,10.7992,972.363,74.01,848,0,692
4177095,1,0,0,10.9888,972.234,74.01,848,0,702
4177107,1,0,0,11.1619,972.113,74.0108,848,0,714
4177118,1,0,0,11.3354,971.99,74.011,848,0,725
4177128,1,0,0,11.4776,971.887,74.011,848,0,735
4177136,1,0,0,11.6349,971.773,74.0118,848,0,743
4177147,1,0,0,11.8084,971.645,74.012,848,0,754
4177158,1,0,0,11.9656,971.527,74.012,848,0,765
4177168,1,0,0,12.1234,971.406,74.012,848,0,775
4177178,1,0,0,12.2963,971.273,74.012,848,0,785
4177189,1,0,0,12.4533,971.151,74.012,848,0,796
4177200,1,0,0,12.627,971.013,74.012,848,0,807
4177210,1,0,0,12.784,970.887,74.012,848,0,817
4177220,1,0,0,12.941,970.759,74.012,848,0,827
4177230,1,0,0,13.1147,970.617,74.012,848,0,837
4177242,1,0,0,13.2874,970.473,74.012,848,0,849
4177254,1,0,0,13.4446,970.339,74.012,848,0,861
4177264,1,0,0,13.6181,970.191,74.012,848,0,871
4177273,1,0,0,13.7754,970.055,74.0117,848,0,880
4177284,1,0,0,13.9492,969.904,74.011,848,0,891
4177293,1,0,0,14.1225,969.75,74.011,848,0,900
4177304,1,0,0,14.2642,969.623,74.0106,848,0,911
4177314,1,0,0,14.438,969.467,74.01,848,0,921
4177323,1,0,0,14.5802,969.337,74.01,848,0,931
4177336,1,0,0,14.7698,969.162,74.01,848,0,943
4177346,1,0,0,14.912,969.029,74.0095,848,0,953
4177356,1,0,0,15.0858,968.865,74.009,848,0,963
4177366,1,0,0,15.2438,968.715,74.009,848,0,973
4177378,1,0,0,15.4176,968.547,74.009,848,0,985
4177388,1,0,0,15.6072,968.362,74.0081,848,0,995
4177398,1,0,0,15.7502,968.221,74.008,848,0,1005
4177409,1,0,0,15.9242,968.048,74.008,848,0,1016
4177418,1,0,0,16.0822,967.889,74.008,848,0,1025
4177429,1,0,0,16.257,967.712,74.008,848,0,1036
4177440,1,0,0,16.4309,967.533,74.008,848,0,1047
4177453,1,0,0,16.6056,967.352,74.008,848,0,1060
4177463,1,0,0,16.7636,967.186,74.008,848,0,1070
4177474,1,0,0,16.9536,966.985,74.008,848,0,1081
4177483,1,0,0,17.1122,966.815,74.008,848,0,1090
4177496,1,0,0,17.2865,966.626,74.008,848,0,1103
4177506,1,0,0,17.445,966.454,74.0085,848,0,1113
4177517,1,0,0,17.6346,966.244,74.009,848,0,1124
4177528,1,0,0,17.7926,966.067,74.009,848,0,1135
4177540,1,0,0,17.9672,965.872,74.009,848,0,1147
4177548,1,0,0,18.1412,965.674,74.009,848,0,1155
4177560,1,0,0,18.3308,965.456,74.01,848,0,1167
4177570,1,0,0,18.5046,965.254,74.01,848,0,1177
4177582,1,0,0,18.6626,965.069,74.01,848,0,1189
4177593,1,0,0,18.8364,964.864,74.01,848,0,1200
4177604,1,0,0,19.0098,964.656,74.01,848,0,1211
4177616,1,0,0,19.1988,964.428,74.0107,848,0,1223
4177626,1,0,0,19.3568,964.236,74.011,848,0,1233
4177637,1,0,0,19.5306,964.023,74.011,848,0,1244
4177649,1,0,0,19.7036,963.807,74.011,848,0,1256
4177661,1,0,0,19.9088,963.551,74.011,848,0,1268
4177671,1,0,0,20.0824,963.332,74.011,848,0,1278
4177682,1,0,0,20.2396,963.132,74.011,848,0,1289
4177692,1,0,0,20.4131,962.909,74.011,848,0,1299
4177705,1,0,0,20.602,962.664,74.011,848,0,1312
4177716,1,0,0,20.7758,962.437,74.011,848,0,1323
4177727,1,0,0,20.9489,962.208,74.011,848,0,1334
4177738,1,0,0,21.1382,961.956,74.011,848,0,1345
4177749,1,0,0,21.312,961.724,74.011,848,0,1356
4177760,1,0,0,21.4848,961.49,74.011,848,0,1367
4177771,1,0,0,21.6586,961.253,74.0108,848,0,1378
4177781,1,0,0,21.8166,961.036,74.01,848,0,1388
4177794,1,0,0,22.0062,960.775,74.01,848,0,1402
4177803,1,0,0,22.1642,960.555,74.0096,848,0,1410
4177814,1,0,0,22.338,960.311,74.009,848,0,1421
