Timestamp,Accel,Brake,Steer,Speed,PosX,PosY,PosZ,CurrentCP,RaceTime
3546220,0,0,0,0,976,74.0023,848,19,0
3546231,0,0,0,0,976,74.002,848,19,0
3546240,0,0,0,0,976,74.002,848,19,0
3546249,0,0,0,0,976,74.002,848,19,0
3546259,0,0,0,0,976,74.002,848,19,0
3546268,0,0,0,0,976,74.002,848,19,0
3546278,0,0,0,0,976,74.002,848,19,0
3546287,0,0,0,0,976,74.002,848,19,0
3546296,0,0,0,0,976,74.002,848,19,0
3546306,0,0,0,0,976,74.002,848,19,0
3546317,0,0,0,0,976,74.002,848,19,0
3546327,0,0,0,0,976,74.002,848,19,0
3546337,0,0,0,0,976,74.002,848,19,0
3546346,0,0,0,0,976,74.002,848,19,0
3546358,0,0,0,0,976,74.002,848,19,0
3546366,0,0,0,0,976,74.002,848,19,0
3546375,0,0,0,0,976,74.002,848,19,0
3546385,0,0,0,0,976,74.002,848,19,0
3546395,0,0,0,0,976,74.002,848,19,0
3546405,0,0,0,0,976,74.002,848,19,0
3546415,0,0,0,0,976,74.002,848,19,0
3546423,0,0,0,0,976,74.002,848,19,0
3546435,0,0,0,0,976,74.002,848,19,0
3546446,0,0,0,0,976,74.002,848,19,0
3546455,0,0,0,0,976,74.002,848,19,0
3546465,0,0,0,0,976,74.002,848,19,0
3546476,0,0,0,0,976,74.002,848,19,0
3546484,0,0,0,0,976,74.002,848,19,0
3546497,0,0,0,0,976,74.002,848,19,0
3546507,0,0,0,0,976,74.003,848,19,0
3546518,0,0,0,0,976,74.003,848,19,0
3546528,0,0,0,0,976,74.003,848,19,0
3546538,0,0,0,0,976,74.003,848,19,0
3546549,0,0,0,0,976,74.003,848,19,0
3546559,0,0,0,0,976,74.003,848,19,0
3546569,0,0,0,0,976,74.003,848,19,0
3546579,0,0,0,0,976,74.003,848,19,0
3546592,0,0,0,0,976,74.003,848,19,0
3546603,0,0,0,0,976,74.003,848,19,0
3546614,0,0,0,0,976,74.003,848,19,0
3546625,0,0,0,0,976,74.003,848,19,0
3546636,0,0,0,0,976,74.003,848,19,0
3546647,0,0,0,0,976,74.003,848,19,0
3546658,0,0,0,0,976,74.003,848,19,0
3546667,0,0,0,0,976,74.003,848,19,0
3546678,0,0,0,0,976,74.003,848,19,0
3546689,0,0,0,0,976,74.003,848,19,0
3546699,0,0,0,0,976,74.003,848,19,0
3546710,0,0,0,0,976,74.003,848,19,0
3546719,0,0,0,0,976,74.003,848,19,0
3546729,0,0,0,0,976,74.003,848,19,0
3546738,0,0,0,0,976,74.003,848,19,0
3546748,0,0,0,0,976,74.003,848,19,0
3546759,0,0,0,0,976,74.003,848,19,0
3546767,0,0,0,0,976,74.003,848,19,0
3546777,0,0,0,0,976,74.003,848,19,0
3546787,0,0,0,0,976,74.003,848,19,0
3546797,0,0,0,0,976,74.003,848,19,0
3546806,0,0,0,0,976,74.003,848,19,0
3546817,0,0,0,0,976,74.003,848,19,0
3546828,0,0,0,0,976,74.003,848,19,0
3546836,0,0,0,0,976,74.004,848,19,0
3546845,0,0,0,0,976,74.004,848,19,0
3546855,0,0,0,0,976,74.004,848,19,0
3546865,0,0,0,0,976,74.004,848,19,0
3546875,0,0,0,0,976,74.004,848,19,0
3546886,0,0,0,0,976,74.004,848,19,0
3546894,0,0,0,0,976,74.004,848,19,0
3546903,0,0,0,0,976,74.004,848,19,0
3546914,0,0,0,0,976,74.004,848,19,0
3546923,0,0,0,0,976,74.004,848,19,0
