Timestamp,Accel,Brake,Steer,Speed,PosX,PosY,PosZ
2593871,1,0,0,0,976,74.002,848
2593882,1,0,0,0.013,976,74.002,848
2593892,1,0,0,0.13,976,74.002,848
2593901,1,0,0,0.306,975.999,74.002,848
2593909,1,0,0,0.434,975.996,74.002,848
2593919,1,0,0,0.594,975.992,74.002,848
2593929,1,0,0,0.738,975.987,74.002,848
2593938,1,0,0,0.898,975.979,74.002,848
2593948,1,0,0,1.042,975.971,74.002,848
2593958,1,0,0,1.202,975.961,74.0027,848
2593968,1,0,0,1.3613,975.948,74.003,848
2593977,1,0,0,1.505,975.936,74.003,848
2593988,1,0,0,1.665,975.921,74.0036,848
2593997,1,0,0,1.8403,975.902,74.004,848
2594009,1,0,0,1.9993,975.884,74.0047,848
2594018,1,0,0,2.159,975.864,74.0057,848
2594029,1,0,0,2.3183,975.842,74.0059,848
2594038,1,0,0,2.4773,975.818,74.0067,848
2594049,1,0,0,2.6514,975.79,74.0078,848
2594058,1,0,0,2.8102,975.764,74.0088,848
2594068,1,0,0,2.9526,975.738,74.0097,848
2594078,1,0,0,3.1106,975.708,74.0099,848
2594088,1,0,0,3.2844,975.674,74.0108,848
2594097,1,0,0,3.4424,975.641,74.0118,848
2594108,1,0,0,3.6004,975.606,74.0119,848
2594119,1,0,0,3.7576,975.57,74.0129,848
2594128,1,0,0,3.9146,975.532,74.0139,848
2594138,1,0,0,4.0716,975.492,74.014,848
2594148,1,0,0,4.2129,975.456,74.014,848
2594157,1,0,0,4.3699,975.414,74.0148,848
2594167,1,0,0,4.5269,975.37,74.015,848
2594177,1,0,0,4.6839,975.325,74.015,848
2594187,1,0,0,4.8409,975.278,74.015,848
2594198,1,0,0,5.0128,975.224,74.015,848
2594207,1,0,0,5.1382,975.184,74.015,848
2594218,1,0,0,5.3109,975.128,74.015,848
2594228,1,0,0,5.4679,975.075,74.0143,848
2594238,1,0,0,5.6249,975.02,74.014,848
2594246,1,0,0,5.7662,974.97,74.014,848
2594258,1,0,0,5.9389,974.907,74.0133,848
2594268,1,0,0,6.0959,974.847,74.013,848
2594278,1,0,0,6.2529,974.787,74.0123,848
2594289,1,0,0,6.4106,974.724,74.012,848
2594297,1,0,0,6.5836,974.654,74.0112,848
2594308,1,0,0,6.7414,974.589,74.011,848
2594319,1,0,0,6.8994,974.521,74.0102,848
2594329,1,0,0,7.0574,974.452,74.0092,848
2594340,1,0,0,7.2154,974.381,74.009,848
2594349,1,0,0,7.3892,974.302,74.0081,848
2594360,1,0,0,7.5481,974.229,74.008,848
2594370,1,0,0,7.7062,974.154,74.008,848
2594379,1,0,0,7.8651,974.076,74.0071,848
2594390,1,0,0,8.039,973.99,74.007,848
2594400,1,0,0,8.1821,973.917,74.007,848
2594409,1,0,0,8.3411,973.836,74.0061,848
2594419,1,0,0,8.5001,973.753,74.006,848
2594430,1,0,0,8.674,973.659,74.006,848
2594439,1,0,0,8.8171,973.581,74.006,848
2594450,1,0,0,8.992,973.484,74.006,848
2594460,1,0,0,9.1351,973.403,74.006,848
2594470,1,0,0,9.31,973.302,74.007,848
2594483,1,0,0,9.468,973.209,74.007,848
2594492,1,0,0,9.627,973.114,74.007,848
2594503,1,0,0,9.8018,973.008,74.007,848
2594513,0,0,0,9.9358,972.9,74.008,848
2594525,0,0,0,9.8907,972.791,74.008,848
2594533,0,0,0,9.8494,972.692,74.0082,848
2594544,0,0,0,9.8077,972.593,74.009,848
2594556,0,0,0,9.7626,972.485,74.009,848
2594564,0,0,0,9.7216,972.387,74.009,848
2594575,0,0,0,9.6806,972.29,74.009,848
2594584,0,0,0,9.6396,972.194,74.009,848
2594595,0,0,0,9.5986,972.098,74.0094,848
2594605,0,0,0,9.558,972.002,74.01,848
2594615,0,0,0,9.518,971.906,74.01,848
2594625,0,0,0,9.4735,971.801,74.01,848
2594636,0,0,0,9.4335,971.707,74.01,848
2594646,0,0,0,9.394,971.613,74.01,848
2594655,0,0,0,9.3545,971.519,74.01,848
2594666,0,0,0,9.3155,971.425,74.01,848
2594677,0,0,0,9.2726,971.323,74.0106,848
2594687,0,0,0,9.2336,971.231,74.011,848
2594697,0,0,0,9.1952,971.139,74.011,848
2594707,0,0,0,9.1572,971.047,74.011,848
2594717,0,0,0,9.1154,970.947,74.0118,848
2594728,0,0,0,9.0744,970.847,74.012,848
2594739,0,0,0,9.0411,970.765,74.0127,848
2594748,0,0,0,9.0004,970.666,74.0129,848
2594759,0,0,0,8.9678,970.586,74.0137,848
2594769,0,0,0,8.9282,970.487,74.0149,848
2594779,0,0,0,8.8922,970.398,74.015,848
2594789,0,0,0,8.8562,970.31,74.0159,848
2594798,0,0,0,8.821,970.221,74.016,848
2594809,0,0,0,8.7825,970.124,74.017,848
2594820,0,0,0,8.7475,970.037,74.017,848
2594831,0,0,0,8.709,969.94,74.018,848
2594839,0,0,0,8.6775,969.862,74.018,848
2594850,0,0,0,8.64,969.767,74.018,848
2594860,0,1,0,8.605,969.68,74.018,848
2594871,0,1,0,8.271,969.594,74.018,848
2594881,0,1,0,8.117,969.511,74.018,848
2594894,0,1,0,7.9522,969.422,74.018,848
2594903,0,1,0,7.79,969.334,74.018,848
2594914,0,1,0,7.6311,969.249,74.018,848
2594925,0,1,0,7.489,969.173,74.018,848
2594935,0,1,0,7.322,969.083,74.018,848
2594948,0,1,0,7.1714,969.003,74.0174,848
2594958,0,1,0,7.0106,968.917,74.017,848
